instance_id,mode,seed,sol_id,att_default,sumo_seed,att
A_k4_3od_x0.8,mutation,6,S0017,182.035,204,208.29
A_k4_3od_x0.8,mutation,6,S0017,182.035,205,185.38625
A_k4_3od_x0.8,mutation,7,S0016,185.0225,201,189.2975
A_k4_3od_x0.8,mutation,7,S0016,185.0225,202,192.69125
A_k4_3od_x0.8,mutation,7,S0016,185.0225,203,192.655
A_k4_3od_x0.8,mutation,7,S0016,185.0225,204,185.66625
A_k4_3od_x0.8,mutation,7,S0016,185.0225,205,195.85
A_k4_3od_x0.8,mutation,8,S0019,181.0325,201,184.51625
A_k4_3od_x0.8,mutation,8,S0019,181.0325,202,186.70875
A_k4_3od_x0.8,mutation,8,S0019,181.0325,203,187.54375
A_k4_3od_x0.8,mutation,8,S0019,181.0325,204,178.99625
A_k4_3od_x0.8,mutation,8,S0019,181.0325,205,192.33375
A_k4_3od_x0.8,mutation,9,S0022,192.4125,201,197.335
A_k4_3od_x0.8,mutation,9,S0022,192.4125,202,211.05375
A_k4_3od_x0.8,mutation,9,S0022,192.4125,203,203.41625
A_k4_3od_x0.8,mutation,9,S0022,192.4125,204,194.92
A_k4_3od_x0.8,mutation,9,S0022,192.4125,205,205.5475
A_k4_3od_x0.8,none,0,S0007,187.4175,201,195.04375
A_k4_3od_x0.8,none,0,S0007,187.4175,202,201.94625
A_k4_3od_x0.8,none,0,S0007,187.4175,203,200.84
A_k4_3od_x0.8,none,0,S0007,187.4175,204,191.0175
A_k4_3od_x0.8,none,0,S0007,187.4175,205,189.7325
A_k4_3od_x0.8,none,1,S0000,190.4975,201,215.39625
A_k4_3od_x0.8,none,1,S0000,190.4975,202,203.91375
A_k4_3od_x0.8,none,1,S0000,190.4975,203,205.34125
A_k4_3od_x0.8,none,1,S0000,190.4975,204,208.75375
A_k4_3od_x0.8,none,1,S0000,190.4975,205,209.86625
A_k4_3od_x0.8,none,2,S0015,189.4425,201,197.715
A_k4_3od_x0.8,none,2,S0015,189.4425,202,185.545
A_k4_3od_x0.8,none,2,S0015,189.4425,203,183.49125
A_k4_3od_x0.8,none,2,S0015,189.4425,204,179.77
A_k4_3od_x0.8,none,2,S0015,189.4425,205,188.445
A_k4_3od_x0.8,none,3,S0010,188.32625,201,191.00625
A_k4_3od_x0.8,none,3,S0010,188.32625,202,193.355
A_k4_3od_x0.8,none,3,S0010,188.32625,203,190.79
A_k4_3od_x0.8,none,3,S0010,188.32625,204,189.2375
A_k4_3od_x0.8,none,3,S0010,188.32625,205,184.78625
A_k4_3od_x0.8,none,4,S0013,194.5025,201,199.79375
A_k4_3od_x0.8,none,4,S0013,194.5025,202,206.24875
A_k4_3od_x0.8,none,4,S0013,194.5025,203,201.69
A_k4_3od_x0.8,none,4,S0013,194.5025,204,199.03625
A_k4_3od_x0.8,none,4,S0013,194.5025,205,208.74375
A_k4_3od_x0.8,none,5,S0016,185.0225,201,189.2975
A_k4_3od_x0.8,none,5,S0016,185.0225,202,192.69125
A_k4_3od_x0.8,none,5,S0016,185.0225,203,192.655
A_k4_3od_x0.8,none,5,S0016,185.0225,204,185.66625
A_k4_3od_x0.8,none,5,S0016,185.0225,205,195.85
A_k4_3od_x0.8,none,6,S0004,190.4975,201,214.83625
A_k4_3od_x0.8,none,6,S0004,190.4975,202,203.91375
A_k4_3od_x0.8,none,6,S0004,190.4975,203,205.34125
A_k4_3od_x0.8,none,6,S0004,190.4975,204,208.75375
A_k4_3od_x0.8,none,6,S0004,190.4975,205,209.86625
A_k4_3od_x0.8,none,7,S0014,183.64,201,195.31375
A_k4_3od_x0.8,none,7,S0014,183.64,202,190.45125
A_k4_3od_x0.8,none,7,S0014,183.64,203,197.89875
A_k4_3od_x0.8,none,7,S0014,183.64,204,195.11625
A_k4_3od_x0.8,none,7,S0014,183.64,205,192.015
A_k4_3od_x0.8,none,8,S0005,190.4975,201,203.205
A_k4_3od_x0.8,none,8,S0005,190.4975,202,201.90125
A_k4_3od_x0.8,none,8,S0005,190.4975,203,208.97
A_k4_3od_x0.8,none,8,S0005,190.4975,204,206.5875
A_k4_3od_x0.8,none,8,S0005,190.4975,205,206.26625
A_k4_3od_x0.8,none,9,S0020,184.725,201,193.43125
A_k4_3od_x0.8,none,9,S0020,184.725,202,197.07625
A_k4_3od_x0.8,none,9,S0020,184.725,203,194.02375
A_k4_3od_x0.8,none,9,S0020,184.725,204,195.115
A_k4_3od_x0.8,none,9,S0020,184.725,205,203.54875
A_k4_3od_x1.0,both,0,S0010,236.189,201,256.114
A_k4_3od_x1.0,both,0,S0010,236.189,202,253.388
A_k4_3od_x1.0,both,0,S0010,236.189,203,242.797
A_k4_3od_x1.0,both,0,S0010,236.189,204,237.863
A_k4_3od_x1.0,both,0,S0010,236.189,205,247.84
A_k4_3od_x1.0,both,1,S0008,238.848,201,258.166
A_k4_3od_x1.0,both,1,S0008,238.848,202,245.768
A_k4_3od_x1.0,both,1,S0008,238.848,203,253.038
A_k4_3od_x1.0,both,1,S0008,238.848,204,242.925
A_k4_3od_x1.0,both,1,S0008,238.848,205,251.763
A_k4_3od_x1.0,both,2,S0012,237.496,201,260.223
A_k4_3od_x1.0,both,2,S0012,237.496,202,247.624
A_k4_3od_x1.0,both,2,S0012,237.496,203,249.428
A_k4_3od_x1.0,both,2,S0012,237.496,204,248.562
