instance_id,source_file,source_path,mode,n_seeds,mean_ATT,sd_ATT,median_ATT,IQR_ATT,mean_ATT_95CI_low,mean_ATT_95CI_high,mean_reduction_vs_none_%
C_k9_2od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\att_summary_by_mode.csv,mutation,10,822.7519166666667,3.0442977788070245,823.325625,3.736354166666615,820.8104312500001,824.4094229166667,0.1217039442426693
C_k9_2od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\att_summary_by_mode.csv,none,10,823.7544583333332,2.5141266005627947,823.228125,3.743958333333353,822.3663104166667,825.2343083333332,0.0
C_k9_3od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\att_summary_by_mode.csv,both,10,445.0129375,4.1091048237124586,445.62875,5.05828125000005,442.6322828125,447.47944375,-0.5345827498402348
C_k9_3od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\att_summary_by_mode.csv,init,10,441.5094375,6.726361008564341,443.553125,9.991093750000005,437.346915625,445.0924171875,0.2569063979647509
C_k9_3od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\att_summary_by_mode.csv,mutation,10,447.521875,5.745148164369264,450.0946875,7.900781250000023,443.8791,450.5257515625,-1.1013864614917133
C_k9_3od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\att_summary_by_mode.csv,none,10,442.646625,6.875851261692375,445.0409375,7.835624999999993,438.41395625,446.3785578125,0.0
C_k9_3od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_3od_x1.0\analysis\tables\att_summary_by_mode.csv,both,10,580.4491499999999,8.110563365999257,580.03625,9.215000000000032,575.5967899999999,585.1827325,0.6610427277085255
C_k9_3od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_3od_x1.0\analysis\tables\att_summary_by_mode.csv,init,10,588.43075,4.777188249320364,589.64425,2.72625000000005,585.48562125,590.8900975,-0.7049405308844604
C_k9_3od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_3od_x1.0\analysis\tables\att_summary_by_mode.csv,mutation,10,586.5162499999999,4.541207122010645,587.98175,5.698750000000018,583.6973199999999,589.0374549999999,-0.3772900662437405
C_k9_3od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_3od_x1.0\analysis\tables\att_summary_by_mode.csv,none,10,584.3117,6.424104638002091,582.5975000000001,11.899874999999952,580.6657150000001,588.2130212500001,0.0
C_k9_3od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_3od_x1.2\analysis\tables\att_summary_by_mode.csv,both,10,669.7543333333334,3.077201919152292,669.64,3.904166666666697,667.8887979166666,671.56509375,0.3159741160572843
C_k9_3od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_3od_x1.2\analysis\tables\att_summary_by_mode.csv,init,10,670.9166666666666,2.432214767005474,671.5766666666666,3.7890625,669.4514041666666,672.2212,0.1429762565151184
C_k9_3od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_3od_x1.2\analysis\tables\att_summary_by_mode.csv,mutation,10,668.43625,3.60728794411099,668.9181249999999,5.100937499999986,666.186846875,670.4084270833333,0.5121532918802675
C_k9_3od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_C_k9_3od_x1.2\analysis\tables\att_summary_by_mode.csv,none,10,671.8772916666668,4.361265510580719,671.9708333333333,4.687395833333312,669.2372250000001,674.4414,0.0
D_k9_1od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_1od_x0.8\analysis\tables\att_summary_by_mode.csv,both,10,513.3991874999999,2.0790799090533367,512.8556249999999,2.8946875000000887,512.22653125,514.7121859375,-0.1613064886690313
D_k9_1od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_1od_x0.8\analysis\tables\att_summary_by_mode.csv,init,10,513.579875,2.7041377566507947,513.551875,4.552343749999977,512.1011875,515.2053046875,-0.1965576080841364
D_k9_1od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_1od_x0.8\analysis\tables\att_summary_by_mode.csv,mutation,10,513.2589999999999,2.589868484568492,512.1368749999999,4.074843750000071,511.81593125,514.934571875,-0.1339566924573208
D_k9_1od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_1od_x0.8\analysis\tables\att_summary_by_mode.csv,none,10,512.572375,1.9527313447735384,512.139375,1.236406249999959,511.52655,513.7382625,0.0
D_k9_1od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_1od_x1.0\analysis\tables\att_summary_by_mode.csv,both,10,514.4047000000002,1.6449174109629046,513.908,2.4361249999999472,513.49895,515.39823,-0.0344789095252748
D_k9_1od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_1od_x1.0\analysis\tables\att_summary_by_mode.csv,init,10,516.0431499999999,1.690798267255908,516.04475,1.5313750000000257,515.1790799999999,517.1333625000001,-0.3531025379044108
D_k9_1od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_1od_x1.0\analysis\tables\att_summary_by_mode.csv,mutation,10,513.2571,2.898837705778717,513.9275,4.11624999999998,511.44660625,514.83384875,0.1886908398891136
D_k9_1od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_1od_x1.0\analysis\tables\att_summary_by_mode.csv,none,10,514.2274,2.9972974475165026,514.33125,4.070500000000038,512.2924,515.89075875,0.0
D_k9_1od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_1od_x1.2\analysis\tables\att_summary_by_mode.csv,both,10,517.1003333333333,1.372325454394026,517.2108333333333,1.7538541666667695,516.2870572916668,517.8279677083334,0.0557929655765416
D_k9_1od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_1od_x1.2\analysis\tables\att_summary_by_mode.csv,init,10,517.4892083333333,1.2268323951112683,517.2933333333333,1.0043749999999818,516.8365125000001,518.2311749999999,-0.0193680834600602
D_k9_1od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_1od_x1.2\analysis\tables\att_summary_by_mode.csv,mutation,10,517.5372916666668,1.9924609958115245,517.8739583333333,1.7052083333334167,516.295178125,518.6434989583332,-0.0286615422180674
D_k9_1od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_1od_x1.2\analysis\tables\att_summary_by_mode.csv,none,10,517.3890000000001,2.830013395357206,518.1291666666666,3.021562499999959,515.6563145833334,518.9172239583332,0.0
D_k9_2od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_2od_x0.8\analysis\tables\att_summary_by_mode.csv,both,10,716.9121874999998,1.3202888681317089,717.0109375,1.1114062500000728,716.1137828125,717.6645140625,0.1530269168079503
D_k9_2od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_2od_x0.8\analysis\tables\att_summary_by_mode.csv,init,10,717.8643125,1.4464829967530857,717.5075,2.1164062499999545,717.0387781249999,718.7898937499999,0.0204209981132734
D_k9_2od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_2od_x0.8\analysis\tables\att_summary_by_mode.csv,mutation,10,716.9134375,1.0800673626272204,717.4534375000001,1.404218750000041,716.280434375,717.5355781249999,0.152852824752404
D_k9_2od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_2od_x0.8\analysis\tables\att_summary_by_mode.csv,none,10,718.0109375,2.360781823954216,718.565,1.8426562500000043,716.4970281249999,719.2026203125,0.0
D_k9_2od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_D_k9_2od_x1.0\analysis\tables\att_summary_by_mode.csv,both,10,726.53855,2.439387576262174,727.3489999999999,2.8611249999999018,725.09556375,727.93294625,0.1215661564659628
