instance_id,source_file,source_path,comparison,n_pairs,test,p_raw,p_holm,Z,r,cliffs_delta,cliffs_delta_CI_low,cliffs_delta_CI_high,CLES,cohen_dz
C_k9_2od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.25,0.5,1.150349380376008,0.3637724146951587,0.5,-0.1,0.9024999999999864,0.2,0.3345471433553506
C_k9_2od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.193359375,0.580078125,1.3007052195221016,0.4113191058159149,0.2,-0.4,0.8,0.4,0.4670213076735751
C_k9_2od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.00390625,0.01171875,-2.8856349124267573,-0.9125178818969072,-0.8,-1.0,-0.4,0.9,-1.3167254672999216
C_k9_2od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.013671875,0.02734375,-2.465770895696496,-0.7797452218554403,-0.8,-1.0,-0.4,0.9,-1.0335714147351476
C_k9_2od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.4921875,0.4921875,-0.6868337485747306,-0.2171959019367575,-0.2,-0.8,0.4,0.6,-0.2924316701993767
C_k9_2od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.083984375,0.251953125,-1.7280214712190125,-0.5464483694727179,-0.4,-1.0,0.2,0.7,-0.6777161795261086
C_k9_2od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.556640625,1.0,-0.5878386109171436,-0.1858908907087695,-0.2,-0.8,0.4,0.6,-0.2762380451290702
C_k9_2od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.76953125,0.76953125,0.2929880968562333,0.0926509713383716,0.2,-0.4,0.8,0.4,0.0531009756539692
C_k9_3od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.625,0.625,-0.4887764111146695,-0.1545646725685195,-0.2,-0.8,0.4,0.6,-0.1304614224995902
C_k9_3od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.02734375,0.08203125,2.206575216537129,0.6977803512736567,0.8,0.4,1.0,0.1,0.6847429262822016
C_k9_3od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.275390625,0.55078125,1.0907324556930242,0.3449198877858647,0.2,-0.4,0.8,0.4,0.4230454194460908
C_k9_3od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_3od_x1.0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.275390625,0.826171875,1.0907324556930242,0.3449198877858647,0.0,-0.6,0.6,0.5,0.4595234358256824
C_k9_3od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_3od_x1.0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.375,0.75,0.887146559018876,0.280540374488064,0.4,-0.2,1.0,0.3,0.3128670875491424
C_k9_3od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_3od_x1.0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.4921875,0.4921875,-0.6868337485747306,-0.2171959019367575,-0.4,-1.0,0.2,0.7,-0.3294398804400478
C_k9_3od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_C_k9_3od_x1.2\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.845703125,0.845703125,-0.1946038037883163,-0.0615391261303583,-0.2,-0.8,0.4,0.6,-0.1625662440766449
