instance_id,source_file,source_path,seed,mode,gen,indiv,ATT,TTT,TimeLossSum,Arrivals,Teleports,k_closed,run_dir
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,5,none,8,6,603.4415,1206883.0,879424.2799999989,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\none_seed5\g008_i006
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,6,both,3,18,599.204,1198408.0,877327.5899999995,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\both_seed6\g003_i018
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,6,init,8,14,601.0295,1202059.0,881296.6299999997,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\init_seed6\g008_i014
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,6,mutation,12,7,601.4985,1202997.0,881433.2000000008,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\mutation_seed6\g012_i007
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,6,none,14,19,596.391,1192782.0,871484.4199999986,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\none_seed6\g014_i019
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,7,both,13,20,597.452,1194904.0,872974.5799999994,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\both_seed7\g013_i020
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,7,init,8,9,599.828,1199656.0,877648.9399999998,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\init_seed7\g008_i009
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,7,mutation,4,1,599.4925,1198985.0,875431.1900000006,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\mutation_seed7\g004_i001
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,7,none,12,21,592.2565,1184513.0,864579.9500000017,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\none_seed7\g012_i021
D_k9_3od_x1.0,seed_best_preview.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\seed_best_preview.csv,8,both,7,19,589.4415,1178883.0,856914.5499999995,2000,,9,D:\PSPS\runs_D_k9_3od_x1.0\both_seed8\g007_i019
