instance_id,source_file,source_path,group,metric,Shapiro_W,Shapiro_p
C_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\assumption_checks.csv,both,ATT,0.9490060710866166,0.6567548561238504
C_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\assumption_checks.csv,init,ATT,0.8619603106625763,0.0804763782501662
C_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\assumption_checks.csv,mutation,ATT,0.9479078942264494,0.6438176044779453
C_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\assumption_checks.csv,none,ATT,0.9506311506776348,0.6759720832140527
C_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.9449733852951924,0.6095544593845585
C_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.9432164711505616,0.5893266829609702
C_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.963974744663246,0.8300648999794703
C_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\assumption_checks.csv,both,ATT,0.9726191103052776,0.9140095096172798
C_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\assumption_checks.csv,init,ATT,0.9585456922907823,0.7691705082707101
C_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\assumption_checks.csv,mutation,ATT,0.914223101272366,0.3112767902461991
C_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\assumption_checks.csv,none,ATT,0.9861544251024866,0.9895835969500107
C_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.7847495893091898,0.0094579620253354
C_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.9343204533205154,0.491705497510988
C_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.9167931633563836,0.3309830051323316
C_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\assumption_checks.csv,both,ATT,0.9296428634837626,0.4443885420199302
C_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\assumption_checks.csv,init,ATT,0.8852686107795298,0.1499027288327379
C_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\assumption_checks.csv,mutation,ATT,0.9540787335754306,0.7168214715829505
C_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\assumption_checks.csv,none,ATT,0.9622580594950176,0.8112827393461931
C_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.9538214625369013,0.7137775660189067
C_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.96381047296919,0.8282906448456753
C_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.9507793962910576,0.6777280837590105
C_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\assumption_checks.csv,both,ATT,0.979020789652224,0.9597126047640054
C_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\assumption_checks.csv,init,ATT,0.8970587052646369,0.2033320143393988
C_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\assumption_checks.csv,mutation,ATT,0.9137507911947708,0.3077612865931837
C_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\assumption_checks.csv,none,ATT,0.9327774720224596,0.4757608608641353
C_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.9781041060094364,0.954219256739578
C_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.9083972116417076,0.2701620500265781
C_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_C_k9_2od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.8672728336967598,0.0928975979758329
C_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\assumption_checks.csv,both,ATT,0.9709071685368946,0.8991264866250082
C_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\assumption_checks.csv,init,ATT,0.8963267893905741,0.1995700394578268
C_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\assumption_checks.csv,mutation,ATT,0.8871125452951351,0.157305535199175
C_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\assumption_checks.csv,none,ATT,0.9154226957555648,0.3203530876888181
C_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.9847358735930416,0.9854438233164704
C_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.9210711364741022,0.3659753275494676
C_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_C_k9_3od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.8716011981992763,0.1043508467539721
C_k9_3od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_3od_x1.0\analysis\tables\assumption_checks.csv,both,ATT,0.9495226160908012,0.662855467450209
C_k9_3od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_3od_x1.0\analysis\tables\assumption_checks.csv,init,ATT,0.8006584736956007,0.014768147292502
C_k9_3od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_3od_x1.0\analysis\tables\assumption_checks.csv,mutation,ATT,0.9073469815270188,0.2632601871437391
C_k9_3od_x1.0,assumption_checks.csv,D:\PSPS\runs_C_k9_3od_x1.0\analysis\tables\assumption_checks.csv,none,ATT,0.8185919787251807,0.0243675302145499
