instance_id,source_file,source_path,mode,Reason,n
D_k9_3od_x1.0,reason_counts.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\reason_counts.csv,none,OK,3460
D_k9_3od_x1.2,reason_counts.csv,D:\PSPS\runs_D_k9_3od_x1.2\analysis\tables\reason_counts.csv,both,OK,3460
D_k9_3od_x1.2,reason_counts.csv,D:\PSPS\runs_D_k9_3od_x1.2\analysis\tables\reason_counts.csv,init,OK,3460
D_k9_3od_x1.2,reason_counts.csv,D:\PSPS\runs_D_k9_3od_x1.2\analysis\tables\reason_counts.csv,mutation,OK,3460
D_k9_3od_x1.2,reason_counts.csv,D:\PSPS\runs_D_k9_3od_x1.2\analysis\tables\reason_counts.csv,none,OK,3460
J_k9_6od_x0.8,reason_counts.csv,D:\PSPS\runs_J_k9_6od_x0.8\analysis\tables\reason_counts.csv,both,OK,3460
J_k9_6od_x0.8,reason_counts.csv,D:\PSPS\runs_J_k9_6od_x0.8\analysis\tables\reason_counts.csv,init,OK,3460
J_k9_6od_x0.8,reason_counts.csv,D:\PSPS\runs_J_k9_6od_x0.8\analysis\tables\reason_counts.csv,mutation,OK,3460
J_k9_6od_x0.8,reason_counts.csv,D:\PSPS\runs_J_k9_6od_x0.8\analysis\tables\reason_counts.csv,none,OK,3460
J_k9_6od_x1.0,reason_counts.csv,D:\PSPS\runs_J_k9_6od_x1.0\analysis\tables\reason_counts.csv,both,OK,3460
J_k9_6od_x1.0,reason_counts.csv,D:\PSPS\runs_J_k9_6od_x1.0\analysis\tables\reason_counts.csv,init,OK,3460
J_k9_6od_x1.0,reason_counts.csv,D:\PSPS\runs_J_k9_6od_x1.0\analysis\tables\reason_counts.csv,mutation,OK,3460
J_k9_6od_x1.0,reason_counts.csv,D:\PSPS\runs_J_k9_6od_x1.0\analysis\tables\reason_counts.csv,none,OK,3460
J_k9_6od_x1.2,reason_counts.csv,D:\PSPS\runs_J_k9_6od_x1.2\analysis\tables\reason_counts.csv,both,OK,3460
J_k9_6od_x1.2,reason_counts.csv,D:\PSPS\runs_J_k9_6od_x1.2\analysis\tables\reason_counts.csv,init,OK,3460
J_k9_6od_x1.2,reason_counts.csv,D:\PSPS\runs_J_k9_6od_x1.2\analysis\tables\reason_counts.csv,mutation,OK,3460
J_k9_6od_x1.2,reason_counts.csv,D:\PSPS\runs_J_k9_6od_x1.2\analysis\tables\reason_counts.csv,none,OK,3460
A_k4_3od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\analysis\tables\reason_counts.csv,both,OK,3415
A_k4_3od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\analysis\tables\reason_counts.csv,init,OK,3423
A_k4_3od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\analysis\tables\reason_counts.csv,mutation,OK,3408
A_k4_3od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\analysis\tables\reason_counts.csv,none,OK,3434
A_k4_3od_x1.0,reason_counts.csv,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\analysis\tables\reason_counts.csv,both,OK,3424
A_k4_3od_x1.0,reason_counts.csv,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\analysis\tables\reason_counts.csv,init,OK,3431
A_k4_3od_x1.0,reason_counts.csv,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\analysis\tables\reason_counts.csv,mutation,OK,3427
A_k4_3od_x1.0,reason_counts.csv,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\analysis\tables\reason_counts.csv,none,OK,3421
A_k4_3od_x1.2,reason_counts.csv,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\analysis\tables\reason_counts.csv,both,OK,3427
A_k4_3od_x1.2,reason_counts.csv,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\analysis\tables\reason_counts.csv,init,OK,3427
A_k4_3od_x1.2,reason_counts.csv,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\analysis\tables\reason_counts.csv,mutation,OK,3423
A_k4_3od_x1.2,reason_counts.csv,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\analysis\tables\reason_counts.csv,none,OK,3422
