eval,k,score,accepted,best_score,temp,closed_edges,run_dir
104,3,629.396667,1,629.396667,2.0035,"-36974892,219797807#0,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0103
105,4,629.396667,1,629.396667,1.9856,"-36974892,-4877788#5,219797807#0,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0104
106,4,644.456000,0,629.396667,1.9679,"-36974892,-4877788#5,219797807#0,61902797#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0105
107,4,629.396667,1,629.396667,1.9503,"-410942714#1,-4877788#5,219797807#0,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0106
108,4,629.396667,1,629.396667,1.9329,"-4877788#5,219797807#0,58621262#0,835443463#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0107
109,5,629.396667,1,629.396667,1.9156,"-325795946#1,-4877788#5,219797807#0,58621262#0,835443463#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0108
110,5,629.396667,1,629.396667,1.8985,"-325795946#1,-4877788#5,219797807#0,5057605#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0109
111,4,629.396667,1,629.396667,1.8816,"-325795946#1,219797807#0,5057605#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0110
112,4,644.456000,0,629.396667,1.8648,"-325795946#1,219797807#0,5057605#1,782714970",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0111
113,4,629.396667,1,629.396667,1.8482,"-325795946#1,219797807#0,465885895#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0112
114,5,629.396667,1,629.396667,1.8317,"-325795946#1,219797807#0,219822417#1,465885895#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0113
115,6,680.761333,0,629.396667,1.8153,"-325795946#1,-4935286#1,219797807#0,219822417#1,465885895#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0114
116,5,668.127333,0,629.396667,1.7991,"-325795946#1,111677669#0,219797807#0,219822417#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0115
117,5,629.396667,1,629.396667,1.7830,"-325795946#1,127837502,219797807#0,465885895#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0116
118,6,629.396667,1,629.396667,1.7671,"-325795946#1,106652010#1,127837502,219797807#0,465885895#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0117
119,6,629.396667,1,629.396667,1.7514,"106652010#1,127837502,219797807#0,37651116#0,465885895#1,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0118
120,6,629.396667,1,629.396667,1.7357,"106652010#1,127837502,219797807#0,37651116#0,58621262#0,834922892#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0119
121,7,629.396667,1,629.396667,1.7202,"-834922892#2,106652010#1,127837502,219797807#0,37651116#0,58621262#0,834922892#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0120
