instance_id,mode,seed,att_multi,att_default
B_k9_1od_x0.8,none,0,650.468625,616.395
B_k9_1od_x0.8,none,1,661.33175,617.978125
B_k9_1od_x0.8,none,2,661.3518750000001,627.243125
B_k9_1od_x0.8,none,3,646.253375,616.51
B_k9_1od_x0.8,none,4,653.212,618.878125
B_k9_1od_x0.8,none,5,643.8042499999999,621.13
B_k9_1od_x0.8,none,6,650.579,623.325625
B_k9_1od_x0.8,none,7,647.371,619.309375
B_k9_1od_x0.8,none,8,660.539625,617.978125
B_k9_1od_x0.8,none,9,644.421,616.751875
B_k9_1od_x1.0,both,0,646.0315,615.412
B_k9_1od_x1.0,both,1,636.5640999999999,616.1705
B_k9_1od_x1.0,both,2,649.6538,627.0225
B_k9_1od_x1.0,both,3,654.6733,623.8155
B_k9_1od_x1.0,both,4,642.5074,616.625
B_k9_1od_x1.0,both,5,663.0631999999999,629.852
B_k9_1od_x1.0,both,6,654.6144,627.1405
B_k9_1od_x1.0,both,7,648.0916,625.127
B_k9_1od_x1.0,both,8,641.5987,629.66
B_k9_1od_x1.0,both,9,644.5657,616.625
B_k9_1od_x1.0,init,0,658.0681999999999,628.629
B_k9_1od_x1.0,init,1,638.2824,616.625
B_k9_1od_x1.0,init,2,640.0762,623.753
B_k9_1od_x1.0,init,3,650.4118000000001,621.6095
B_k9_1od_x1.0,init,4,646.1351999999999,632.5305
B_k9_1od_x1.0,init,5,644.9716999999999,636.2985
B_k9_1od_x1.0,init,6,635.4386000000001,621.6505
B_k9_1od_x1.0,init,7,653.1429,630.386
B_k9_1od_x1.0,init,8,642.1261000000001,622.285
B_k9_1od_x1.0,init,9,640.3516,624.3025
B_k9_1od_x1.0,mutation,0,640.3738999999999,623.013
B_k9_1od_x1.0,mutation,1,638.5142,627.595
B_k9_1od_x1.0,mutation,2,655.4579,628.2395
B_k9_1od_x1.0,mutation,3,658.0642,622.279
B_k9_1od_x1.0,mutation,4,639.862,621.2125
B_k9_1od_x1.0,mutation,5,644.8465,628.112
B_k9_1od_x1.0,mutation,6,641.5487,620.9665
B_k9_1od_x1.0,mutation,7,645.5966000000001,627.6275
B_k9_1od_x1.0,mutation,8,637.8648000000001,616.625
B_k9_1od_x1.0,mutation,9,634.9366,622.0695
B_k9_1od_x1.0,none,0,650.8815999999999,627.638
B_k9_1od_x1.0,none,1,664.3601000000001,626.5065
B_k9_1od_x1.0,none,2,627.3199000000001,617.2615
B_k9_1od_x1.0,none,3,652.8012,621.8395
B_k9_1od_x1.0,none,4,654.403,626.8045
B_k9_1od_x1.0,none,5,647.7959,628.1975
B_k9_1od_x1.0,none,6,670.1176,620.7305
B_k9_1od_x1.0,none,7,638.9125,623.7015
B_k9_1od_x1.0,none,8,652.5807,632.8275
B_k9_1od_x1.0,none,9,650.9763,622.958
B_k9_1od_x1.2,both,0,646.287,615.7891666666667
B_k9_1od_x1.2,both,1,649.0470833333334,626.7308333333333
B_k9_1od_x1.2,both,2,640.9934999999999,621.69625
B_k9_1od_x1.2,both,3,643.0444166666667,623.06875
B_k9_1od_x1.2,both,4,647.0605833333333,620.9433333333334
B_k9_1od_x1.2,both,5,637.2483333333333,626.4929166666667
B_k9_1od_x1.2,both,6,642.3824999999999,626.9291666666667
B_k9_1od_x1.2,both,7,636.7924999999999,619.7720833333333
B_k9_1od_x1.2,both,8,637.2720833333333,625.99125
B_k9_1od_x1.2,both,9,644.868,620.94625
B_k9_1od_x1.2,init,0,644.3340000000001,623.2
B_k9_1od_x1.2,init,1,645.1069166666666,621.5570833333334
B_k9_1od_x1.2,init,2,641.38825,626.3104166666667
B_k9_1od_x1.2,init,3,639.0838333333334,620.9925
B_k9_1od_x1.2,init,4,642.2525833333333,624.9641666666666
B_k9_1od_x1.2,init,5,646.4915,629.9333333333333
B_k9_1od_x1.2,init,6,645.6546666666667,626.61875
B_k9_1od_x1.2,init,7,641.2900833333333,625.1408333333334
B_k9_1od_x1.2,init,8,652.5416666666667,624.6983333333334
B_k9_1od_x1.2,init,9,637.4315833333333,627.2904166666667
B_k9_1od_x1.2,mutation,0,650.4889166666667,629.8291666666667
B_k9_1od_x1.2,mutation,1,640.7008333333333,627.5420833333334
B_k9_1od_x1.2,mutation,2,640.8910833333333,616.8620833333333
B_k9_1od_x1.2,mutation,3,641.1249166666666,626.9291666666667
B_k9_1od_x1.2,mutation,4,648.6094166666667,622.2875
B_k9_1od_x1.2,mutation,5,653.3224166666666,623.37625
B_k9_1od_x1.2,mutation,6,650.1106666666667,629.19375
B_k9_1od_x1.2,mutation,7,637.496,626.2429166666667
B_k9_1od_x1.2,mutation,8,642.8041666666667,626.4929166666667
B_k9_1od_x1.2,mutation,9,639.667,626.4929166666667
B_k9_1od_x1.2,none,0,639.7952499999999,623.5420833333334
B_k9_1od_x1.2,none,1,647.0036666666667,623.4466666666667
B_k9_1od_x1.2,none,2,650.4322500000001,630.6420833333333
B_k9_1od_x1.2,none,3,638.2458333333334,630.7208333333333
B_k9_1od_x1.2,none,4,636.9545,623.2129166666666
B_k9_1od_x1.2,none,5,644.2349166666667,627.3995833333333
B_k9_1od_x1.2,none,6,644.26,620.9433333333334
B_k9_1od_x1.2,none,7,635.345,626.8758333333334
B_k9_1od_x1.2,none,8,633.9013333333334,626.4929166666667
B_k9_1od_x1.2,none,9,657.7840833333333,636.0083333333333
B_k9_2od_x0.8,both,0,634.5438750000001,595.213125
B_k9_2od_x0.8,both,1,648.28475,607.48625
B_k9_2od_x0.8,both,2,657.479,598.12125
