sample_idx,k,y_dataset_randseed,att_eval_seed
563,3,304.5690002441406,336.744
564,1,318.6520080566406,341.586
565,3,307.5899963378906,301.601
566,3,291.7449951171875,289.322
568,3,295.0669860839844,293.478
570,3,298.59698486328125,305.502
571,4,306.3680114746094,289.16
573,2,328.97100830078125,307.786
574,1,312.114990234375,311.104
575,2,294.5660095214844,315.812
576,3,297.0050048828125,308.612
577,3,288.9800109863281,283.764
578,3,333.9809875488281,330.564
579,1,298.2130126953125,315.812
580,1,315.58099365234375,315.812
581,2,279.88299560546875,300.715
582,3,283.96099853515625,289.096
583,4,304.656005859375,293.829
584,3,289.7640075683594,281.927
588,2,331.8550109863281,342.562
589,4,313.3680114746094,297.404
590,3,298.4800109863281,309.066
591,1,302.12298583984375,303.944
592,1,268.8529968261719,280.385
593,2,283.0740051269531,295.318
594,1,302.0840148925781,297.978
596,4,310.2959899902344,292.849
597,4,308.2040100097656,313.713
598,2,337.8039855957031,347.024
600,3,350.4469909667969,343.922
602,3,297.5870056152344,319.344
605,1,303.12701416015625,297.692
608,4,347.0799865722656,358.087
609,3,308.53900146484375,296.988
610,3,299.16900634765625,301.863
611,2,280.47100830078125,273.097
612,3,299.1520080566406,304.865
613,3,292.8169860839844,306.305
614,2,288.0419921875,303.944
615,1,303.6669921875,311.897
618,2,311.83099365234375,315.812
619,4,280.635009765625,282.582
620,3,291.8080139160156,300.204
621,1,311.79998779296875,308.567
622,4,330.0989990234375,325.205
623,4,292.4289855957031,293.763
624,2,320.9809875488281,288.775
626,2,286.54901123046875,279.153
627,3,330.90399169921875,353.317
628,1,320.4419860839844,315.812
630,4,293.7300109863281,299.688
631,4,330.89801025390625,329.082
632,2,324.95001220703125,352.762
633,3,304.1239929199219,311.897
635,4,302.8330078125,296.852
636,3,355.7139892578125,347.694
637,2,283.531005859375,297.801
639,1,318.2650146484375,309.073
640,1,300.9700012207031,308.665
641,2,318.2200012207031,320.237
642,2,311.2850036621094,306.673
645,4,354.8630065917969,357.367
646,3,290.6619873046875,277.907
647,1,313.5140075683594,315.812
648,1,319.68701171875,311.104
649,2,300.02899169921875,302.615
650,3,317.2130126953125,310.074
651,2,303.97601318359375,295.318
652,1,293.7090148925781,297.978
653,3,269.04998779296875,282.761
654,2,311.8179931640625,320.093
655,4,317.4460144042969,314.128
656,2,273.0769958496094,286.169
658,3,329.27398681640625,307.399
659,4,268.8210144042969,281.49
660,4,297.5769958496094,303.037
661,2,320.81298828125,307.568
663,1,272.6130065917969,286.702
664,1,297.9410095214844,308.567
666,3,308.2690124511719,312.161
667,4,309.3169860839844,295.198
668,2,332.58099365234375,297.767
670,1,302.9670104980469,283.118
671,2,326.9989929199219,308.288
672,2,304.7820129394531,289.531
674,4,306.1629943847656,305.967
675,4,310.1059875488281,306.394
676,4,290.14300537109375,290.686
677,2,301.5050048828125,310.533
678,3,259.3399963378906,250.678
680,1,300.41400146484375,315.812
681,2,301.62298583984375,297.978
682,1,302.31298828125,309.073
684,4,356.3630065917969,364.591
686,4,297.77099609375,301.863
687,3,318.260986328125,309.953
688,3,308.5150146484375,309.648
691,3,272.0469970703125,267.966
692,4,327.1730041503906,327.019
693,2,332.4909973144531,326.656
694,4,331.65899658203125,308.752
695,2,301.81201171875,300.582
696,3,286.6759948730469,276.95
697,4,285.49700927734375,271.983
698,3,281.0719909667969,278.824
