sample_idx,k,y_dataset_randseed,att_eval_seed
748,4,529.45849609375,541.7045
749,6,529.6119995117188,533.8185
750,9,547.9030151367188,519.4155
751,4,511.5144958496094,518.261
752,9,493.87701416015625,505.955
753,3,521.2894897460938,524.375
754,1,522.238525390625,518.907
755,2,547.4244995117188,538.6315
756,9,538.0009765625,535.315
757,2,503.85198974609375,538.6315
758,4,531.1400146484375,531.9535
759,6,519.1284790039062,518.552
760,5,520.8319702148438,498.1305
761,5,521.14501953125,506.59
762,5,516.4564819335938,526.103
763,2,527.9014892578125,519.331
764,7,495.9939880371094,508.466
765,9,486.2550048828125,514.7445
767,6,511.26849365234375,537.4095
768,9,550.0150146484375,554.934
769,6,544.510009765625,555.931
770,5,521.06298828125,536.6845
771,2,526.5490112304688,538.6315
772,1,534.1259765625,538.6315
773,7,532.9854736328125,538.6315
775,8,538.281005859375,588.1305
776,7,503.8810119628906,522.2315
777,9,537.198974609375,508.5945
778,5,544.676513671875,530.219
779,1,503.8584899902344,538.6315
780,4,520.2764892578125,517.0245
781,6,494.64349365234375,511.0395
782,8,511.76251220703125,527.3325
783,2,540.3140258789062,514.835
784,7,514.010986328125,538.5555
785,5,549.0394897460938,523.323
786,6,517.7620239257812,519.402
787,4,533.4295043945312,529.2475
788,7,528.6099853515625,496.032
789,4,535.0889892578125,539.677
791,2,527.3524780273438,539.0385
792,2,510.7254943847656,517.447
793,1,528.7310180664062,538.6315
794,7,547.2725219726562,530.5135
795,4,510.781494140625,533.721
796,1,525.7739868164062,538.6315
797,3,525.1284790039062,524.375
799,7,519.4094848632812,541.1505
801,5,562.0294799804688,583.4055
802,3,541.1119995117188,524.68
803,9,549.7009887695312,525.9805
804,9,531.655029296875,563.9045
805,3,527.7034912109375,517.4925
806,2,503.38751220703125,538.6315
807,8,542.3054809570312,543.387
808,6,539.780517578125,532.083
809,4,540.8670043945312,522.5555
811,2,519.5504760742188,522.1165
812,3,527.4010009765625,535.3345
813,6,535.8629760742188,512.7505
814,1,527.4459838867188,538.179
815,4,529.8925170898438,531.7745
816,1,531.4805297851562,533.8185
817,1,526.6060180664062,538.6315
818,3,533.8359985351562,536.5755
819,2,514.532470703125,538.6315
820,3,528.0604858398438,518.973
821,1,507.41351318359375,522.2315
822,4,542.5590209960938,525.184
823,2,529.8045043945312,533.9925
824,1,506.7120056152344,545.4445
825,8,536.1964721679688,525.021
826,8,538.0764770507812,523.1605
827,3,518.1074829101562,533.3205
828,1,529.510009765625,538.6315
829,9,532.0565185546875,505.5175
831,5,527.072021484375,523.807
832,6,540.469970703125,521.459
833,6,515.0780029296875,514.5175
834,4,542.7675170898438,539.004
835,7,515.9935302734375,520.6245
836,4,560.4304809570312,510.147
838,5,523.1849975585938,528.4305
839,6,549.8099975585938,520.3655
840,7,524.3619995117188,548.481
841,3,537.8795166015625,516.536
842,4,508.7135009765625,510.253
843,8,530.0679931640625,527.2605
845,5,507.4150085449219,511.911
846,8,530.5120239257812,546.4385
847,4,517.2239990234375,542.646
848,9,508.9549865722656,558.8805
849,2,535.6939697265625,489.4005
850,1,514.0905151367188,538.6315
852,8,505.8689880371094,514.6835
853,1,503.7955017089844,538.6315
855,1,506.7325134277344,538.6315
856,6,517.2550048828125,515.486
857,1,516.4439697265625,523.1005
858,2,532.843017578125,530.027
859,1,528.7974853515625,527.5075
860,5,547.7449951171875,559.015
861,8,531.3214721679688,512.1875
862,9,513.35498046875,518.074
863,3,514.760498046875,534.2035
864,5,523.0079956054688,518.1645
865,8,518.8489990234375,532.2935
866,2,534.593017578125,538.6315
868,6,513.4794921875,524.4755
869,2,524.6314697265625,521.7555
870,7,552.4959716796875,550.4765
871,9,506.5685119628906,484.129
873,1,508.47601318359375,538.6315
874,4,534.1425170898438,537.701
875,4,509.22100830078125,538.6315
876,6,517.1284790039062,525.3045
877,3,505.3580017089844,517.8095
878,6,524.0,547.862
879,8,533.1304931640625,519.6595
880,5,518.9290161132812,525.948
881,2,518.64501953125,510.874
882,3,536.2974853515625,543.9195
884,1,502.3804931640625,538.6315
885,5,516.010498046875,516.3795
886,6,535.2885131835938,502.1
887,9,534.56298828125,549.3615
888,1,507.08648681640625,514.835
889,3,506.7965087890625,525.706
890,6,529.3385009765625,516.897
891,1,485.3454895019531,538.6315
892,7,556.0015258789062,534.495
893,5,520.20947265625,545.668
894,2,532.2474975585938,504.0005
895,2,525.4815063476562,538.6315
896,6,521.0139770507812,520.872
897,4,529.8524780273438,523.2345
898,4,499.9255065917969,527.1595
899,2,534.801513671875,543.444
900,1,527.7780151367188,489.4005
901,6,523.8510131835938,529.1655
902,1,506.05499267578125,531.9535
903,5,512.7570190429688,493.025
904,1,553.9739990234375,538.6315
905,4,525.1195068359375,511.0215
906,2,531.0885009765625,518.552
907,3,504.57000732421875,512.9575
908,8,509.38751220703125,508.2855
909,9,517.9295043945312,533.7895
910,1,509.0255126953125,522.2315
911,6,534.113525390625,544.795
912,5,532.9105224609375,551.1305
913,8,527.551513671875,533.32
914,5,538.9094848632812,562.0275
915,3,507.49200439453125,531.5855
916,8,521.6854858398438,524.65
917,3,516.291015625,539.2815
918,5,520.1594848632812,523.1005
919,5,539.4190063476562,528.8715
921,1,511.52899169921875,519.331
922,4,571.7570190429688,558.944
923,7,510.1784973144531,535.377
924,5,555.5880126953125,550.4385
925,3,567.1640014648438,547.1165
926,8,529.3820190429688,548.762
927,1,512.1715087890625,510.3295
928,9,512.4400024414062,525.198
929,8,536.5260009765625,545.946
930,2,511.76251220703125,526.103
931,5,533.4835205078125,524.8325
932,4,506.4800109863281,519.331
933,4,525.5125122070312,531.7745
934,9,550.5054931640625,540.9975
