sample_idx,k,y_dataset_randseed,att_eval_seed
199,9,656.0380249023438,644.456
200,4,633.34130859375,644.456
201,2,634.1593627929688,644.456
203,8,604.18798828125,644.456
204,9,603.43798828125,644.456
205,1,561.267333984375,644.456
207,7,601.9026489257812,644.456
208,8,612.2646484375,644.456
210,8,700.7966918945312,644.456
211,2,617.6199951171875,644.456
212,5,602.274658203125,602.0886666666667
213,3,588.586669921875,644.456
214,3,644.7866821289062,644.456
215,9,620.3206787109375,644.456
216,3,608.8666381835938,644.456
217,1,601.3400268554688,644.456
219,4,594.0693359375,644.456
220,8,521.4208374023438,1000000000000.0
221,5,627.7080078125,644.456
222,8,632.066650390625,612.3373333333333
224,6,625.3573608398438,601.6666666666666
225,8,624.0133056640625,644.456
226,4,599.7186889648438,644.456
227,4,642.9613037109375,644.456
228,1,600.5633544921875,644.456
229,5,643.88134765625,657.5893333333333
230,7,609.0780029296875,615.018
231,7,645.0059814453125,644.456
232,3,609.1073608398438,644.456
233,7,618.0986938476562,644.456
234,8,616.927978515625,673.13
235,3,622.017333984375,644.456
236,2,616.7286376953125,644.456
237,8,727.5093383789062,694.1086666666666
238,6,631.9426879882812,618.5913333333333
239,2,664.9140014648438,644.456
240,9,611.6726684570312,644.456
241,5,588.4359741210938,648.456
242,1,608.5973510742188,644.456
245,6,619.8466796875,644.456
247,4,657.9019775390625,644.456
249,6,584.9813232421875,644.456
250,6,596.170654296875,644.456
251,5,622.447998046875,644.456
252,3,632.16064453125,644.456
253,3,664.5586547851562,644.456
254,8,636.017333984375,644.456
255,4,616.6653442382812,644.456
256,3,604.8493041992188,644.456
257,5,630.1266479492188,636.414
259,3,570.5113525390625,644.456
260,1,639.52197265625,644.456
261,5,589.3259887695312,644.456
262,1,648.8280029296875,644.456
263,8,597.0733032226562,644.456
264,1,613.74267578125,644.456
265,6,619.9886474609375,644.456
266,1,617.7766723632812,644.456
267,2,630.177978515625,644.456
268,9,662.7406616210938,623.1593333333333
269,3,623.2366943359375,644.456
270,2,649.7373046875,644.456
271,8,602.108642578125,644.456
273,5,673.3218383789062,8383.770666666667
275,7,505.5751037597656,1000000000000.0
276,5,609.8179931640625,644.456
277,5,625.7146606445312,644.456
278,7,610.0366821289062,678.97
279,3,576.3133544921875,644.456
280,6,638.3026733398438,644.456
281,2,582.7093505859375,644.456
282,3,625.2239990234375,644.456
283,1,606.111328125,644.456
284,5,383.7340087890625,380.0353333333333
286,2,626.3326416015625,644.456
287,1,577.0780029296875,644.456
289,9,613.7813110351562,644.456
290,4,607.4520263671875,644.456
292,2,634.0599975585938,644.456
294,2,612.77197265625,644.456
295,2,596.0,644.456
297,6,661.6766967773438,644.456
298,4,602.8433227539062,644.456
299,6,675.1339721679688,714.712
300,6,594.329345703125,644.456
301,6,606.6306762695312,644.456
302,7,595.04931640625,644.456
303,2,603.3106689453125,644.456
304,8,590.95068359375,644.456
305,2,599.420654296875,644.456
306,6,593.5633544921875,659.462
307,4,584.1426391601562,644.456
308,9,602.4359741210938,644.456
309,2,618.916015625,644.456
310,9,580.166015625,644.456
311,1,620.2726440429688,644.456
312,5,606.2919921875,644.456
313,3,599.177978515625,644.456
314,5,615.13134765625,644.456
315,6,647.2379760742188,644.456
316,9,610.6333618164062,644.456
317,4,589.5606689453125,644.456
318,3,667.7273559570312,644.456
319,3,609.4146728515625,644.456
320,5,621.1680297851562,644.456
321,9,612.5466918945312,644.456
322,4,548.9326782226562,644.456
323,7,641.7233276367188,644.456
324,2,579.2780151367188,644.456
326,1,602.8333129882812,644.456
327,8,577.5640258789062,644.456
328,4,587.4686889648438,644.456
329,4,594.0679931640625,644.456
330,4,632.1766967773438,644.456
331,7,395.343994140625,548.7793333333333
332,9,593.239990234375,644.456
333,4,604.5773315429688,644.456
335,8,614.7966918945312,644.456
336,1,597.1046752929688,644.456
337,8,662.7333374023438,646.1106666666667
338,2,592.1573486328125,644.456
339,1,599.3259887695312,644.456
341,5,704.4026489257812,644.456
342,5,356.2313232421875,373.832
344,7,596.3953247070312,596.504
345,4,638.210693359375,643.9946666666667
346,8,582.3953247070312,644.456
347,9,600.8140258789062,656.9013333333334
348,4,610.5813598632812,644.456
350,6,683.7806396484375,651.1513333333334
351,4,630.926025390625,644.456
352,3,624.6233520507812,627.456
353,7,618.8653564453125,644.456
354,6,665.8033447265625,2192.349333333333
355,2,625.0239868164062,644.456
356,1,603.5819702148438,644.456
357,6,598.2146606445312,644.456
358,5,612.5139770507812,644.456
359,1,591.3633422851562,644.456
360,6,584.96533203125,644.456
361,8,618.8900146484375,644.456
362,3,614.8273315429688,644.456
363,5,635.393310546875,614.8673333333334
364,7,710.8820190429688,714.712
365,3,620.1533203125,644.456
366,5,617.163330078125,644.456
367,9,610.3453369140625,644.456
369,8,642.3900146484375,2192.349333333333
370,8,609.7986450195312,644.456
371,4,637.0853271484375,644.456
373,5,633.7020263671875,644.456
374,9,488.9588317871094,1000000000000.0
375,7,638.3353271484375,599.4026666666666
376,6,609.7586669921875,644.456
