instance,arm,run_seed,sol_id,att_default,sumo_seed,att
B_k9_3od_x1.0,mutation,4,S024,470.5195,101,514.2345
B_k9_3od_x1.0,mutation,4,S024,470.5195,102,497.767
B_k9_3od_x1.0,mutation,4,S024,470.5195,103,497.8325
B_k9_3od_x1.0,mutation,4,S024,470.5195,104,522.386
B_k9_3od_x1.0,mutation,4,S024,470.5195,105,514.2085
B_k9_3od_x1.0,mutation,4,S024,470.5195,106,490.3825
B_k9_3od_x1.0,mutation,4,S024,470.5195,107,511.662
B_k9_3od_x1.0,mutation,4,S024,470.5195,108,504.5905
B_k9_3od_x1.0,mutation,4,S024,470.5195,109,501.0635
B_k9_3od_x1.0,mutation,4,S024,470.5195,110,505.358
B_k9_3od_x1.0,mutation,5,S025,476.1895,101,486.862
B_k9_3od_x1.0,mutation,5,S025,476.1895,102,513.4345
B_k9_3od_x1.0,mutation,5,S025,476.1895,103,497.1855
B_k9_3od_x1.0,mutation,5,S025,476.1895,104,499.402
B_k9_3od_x1.0,mutation,5,S025,476.1895,105,513.306
B_k9_3od_x1.0,mutation,5,S025,476.1895,106,485.864
B_k9_3od_x1.0,mutation,5,S025,476.1895,107,482.5865
B_k9_3od_x1.0,mutation,5,S025,476.1895,108,487.4875
B_k9_3od_x1.0,mutation,5,S025,476.1895,109,497.441
B_k9_3od_x1.0,mutation,5,S025,476.1895,110,481.453
B_k9_3od_x1.0,mutation,6,S026,468.967,101,488.384
B_k9_3od_x1.0,mutation,6,S026,468.967,102,508.213
B_k9_3od_x1.0,mutation,6,S026,468.967,103,493.013
B_k9_3od_x1.0,mutation,6,S026,468.967,104,506.375
B_k9_3od_x1.0,mutation,6,S026,468.967,105,496.0975
B_k9_3od_x1.0,mutation,6,S026,468.967,106,490.117
B_k9_3od_x1.0,mutation,6,S026,468.967,107,501.893
B_k9_3od_x1.0,mutation,6,S026,468.967,108,500.6275
B_k9_3od_x1.0,mutation,6,S026,468.967,109,505.8585
B_k9_3od_x1.0,mutation,6,S026,468.967,110,524.289
B_k9_3od_x1.0,mutation,7,S027,480.3775,101,489.3495
B_k9_3od_x1.0,mutation,7,S027,480.3775,102,506.609
B_k9_3od_x1.0,mutation,7,S027,480.3775,103,486.7505
B_k9_3od_x1.0,mutation,7,S027,480.3775,104,504.4215
B_k9_3od_x1.0,mutation,7,S027,480.3775,105,483.69
B_k9_3od_x1.0,mutation,7,S027,480.3775,106,503.073
B_k9_3od_x1.0,mutation,7,S027,480.3775,107,507.6665
B_k9_3od_x1.0,mutation,7,S027,480.3775,108,488.268
B_k9_3od_x1.0,mutation,7,S027,480.3775,109,495.726
B_k9_3od_x1.0,mutation,7,S027,480.3775,110,493.744
B_k9_3od_x1.0,mutation,8,S028,479.5045,101,490.3815
B_k9_3od_x1.0,mutation,8,S028,479.5045,102,501.43
B_k9_3od_x1.0,mutation,8,S028,479.5045,103,495.3155
B_k9_3od_x1.0,mutation,8,S028,479.5045,104,482.798
B_k9_3od_x1.0,mutation,8,S028,479.5045,105,501.7375
B_k9_3od_x1.0,mutation,8,S028,479.5045,106,519.0385
B_k9_3od_x1.0,mutation,8,S028,479.5045,107,509.4145
B_k9_3od_x1.0,mutation,8,S028,479.5045,108,514.1705
B_k9_3od_x1.0,mutation,8,S028,479.5045,109,504.333
B_k9_3od_x1.0,mutation,8,S028,479.5045,110,485.325
B_k9_3od_x1.0,mutation,9,S029,476.935,101,515.5885
B_k9_3od_x1.0,mutation,9,S029,476.935,102,488.0155
B_k9_3od_x1.0,mutation,9,S029,476.935,103,514.5075
B_k9_3od_x1.0,mutation,9,S029,476.935,104,499.1315
B_k9_3od_x1.0,mutation,9,S029,476.935,105,489.5605
B_k9_3od_x1.0,mutation,9,S029,476.935,106,490.8575
B_k9_3od_x1.0,mutation,9,S029,476.935,107,486.2225
B_k9_3od_x1.0,mutation,9,S029,476.935,108,510.8355
B_k9_3od_x1.0,mutation,9,S029,476.935,109,504.6935
B_k9_3od_x1.0,mutation,9,S029,476.935,110,494.4705
B_k9_3od_x1.0,none,0,S030,479.6265,101,515.3165
B_k9_3od_x1.0,none,0,S030,479.6265,102,507.0055
B_k9_3od_x1.0,none,0,S030,479.6265,103,496.124
B_k9_3od_x1.0,none,0,S030,479.6265,104,529.152
B_k9_3od_x1.0,none,0,S030,479.6265,105,497.523
B_k9_3od_x1.0,none,0,S030,479.6265,106,519.3825
B_k9_3od_x1.0,none,0,S030,479.6265,107,519.255
B_k9_3od_x1.0,none,0,S030,479.6265,108,505.8375
B_k9_3od_x1.0,none,0,S030,479.6265,109,505.281
B_k9_3od_x1.0,none,0,S030,479.6265,110,512.652
B_k9_3od_x1.0,none,1,S031,485.762,101,515.0755
B_k9_3od_x1.0,none,1,S031,485.762,102,534.7795
B_k9_3od_x1.0,none,1,S031,485.762,103,517.829
B_k9_3od_x1.0,none,1,S031,485.762,104,528.0215
B_k9_3od_x1.0,none,1,S031,485.762,105,524.3315
B_k9_3od_x1.0,none,1,S031,485.762,106,535.6305
B_k9_3od_x1.0,none,1,S031,485.762,107,567.354
B_k9_3od_x1.0,none,1,S031,485.762,108,536.758
B_k9_3od_x1.0,none,1,S031,485.762,109,533.4435
B_k9_3od_x1.0,none,1,S031,485.762,110,524.845
B_k9_3od_x1.0,none,2,S032,473.191,101,518.3885
B_k9_3od_x1.0,none,2,S032,473.191,102,501.8
B_k9_3od_x1.0,none,2,S032,473.191,103,481.312
B_k9_3od_x1.0,none,2,S032,473.191,104,504.3085
B_k9_3od_x1.0,none,2,S032,473.191,105,485.799
B_k9_3od_x1.0,none,2,S032,473.191,106,509.626
B_k9_3od_x1.0,none,2,S032,473.191,107,473.2165
B_k9_3od_x1.0,none,2,S032,473.191,108,494.7575
B_k9_3od_x1.0,none,2,S032,473.191,109,501.1295
B_k9_3od_x1.0,none,2,S032,473.191,110,514.551
B_k9_3od_x1.0,none,3,S033,486.0495,101,513.196
B_k9_3od_x1.0,none,3,S033,486.0495,102,509.795
B_k9_3od_x1.0,none,3,S033,486.0495,103,512.816
