eval,k,score,accepted,best_score,temp,closed_edges,run_dir
339,7,500.922500,0,472.803000,0.2227,"-E11,-E46,-E64,E13,E16,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0338
340,6,483.280000,0,472.803000,0.2207,"-E11,-E46,E13,E16,E30,E40",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0339
341,6,507.325000,0,472.803000,0.2188,"-E11,-E46,E13,E16,E52,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0340
342,6,483.280000,0,472.803000,0.2168,"-E11,-E44,-E46,E13,E16,E40",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0341
343,6,496.546500,0,472.803000,0.2149,"-E11,-E12,-E46,E13,E16,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0342
344,5,494.545500,0,472.803000,0.2130,"-E11,-E46,E13,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0343
345,6,494.545500,0,472.803000,0.2111,"-E11,-E46,E13,E40,E57,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0344
346,6,515.953500,0,472.803000,0.2092,"-E11,-E14,-E46,E16,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0345
347,7,494.111500,0,472.803000,0.2055,"-E11,-E14,-E46,E13,E16,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0346
348,6,510.757500,0,472.803000,0.2036,"-E11,E13,E16,E40,E59,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0347
349,7,472.803000,1,472.803000,0.2018,"-E11,-E22,-E46,E13,E16,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0348
350,6,485.831000,0,472.803000,0.2000,"-E11,-E22,-E46,E16,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0349
351,8,472.803000,1,472.803000,0.1982,"-E11,-E22,-E46,E13,E16,E40,E50,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0350
352,8,516.060000,0,472.803000,0.1964,"-E11,-E22,-E45,E13,E16,E40,E50,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0351
353,8,472.803000,1,472.803000,0.1947,"-E11,-E22,-E46,E13,E16,E31,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0352
354,8,550.205000,0,472.803000,0.1930,"-E11,-E22,-E46,-E63,E13,E16,E31,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0353
355,8,500.433000,0,472.803000,0.1912,"-E11,-E46,E13,E15,E16,E31,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0354
356,9,472.803000,1,472.803000,0.1895,"-E11,-E13,-E22,-E46,E13,E16,E31,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0355
357,9,472.803000,1,472.803000,0.1878,"-E11,-E13,-E22,-E46,-E50,E13,E16,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0356
358,8,494.545500,0,472.803000,0.1862,"-E11,-E13,-E22,-E46,-E50,E13,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0357
359,8,498.842500,0,472.803000,0.1845,"-E13,-E22,-E46,-E50,E13,E16,E40,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0358
360,9,472.803000,1,472.803000,0.1828,"-E11,-E13,-E46,-E50,E13,E16,E40,E6,E63",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0359
