instance_id,mode,gen1_n,gen1_unique_closed_edges,gen1_best_ATT,gen1_mean_ATT,gen1_unique_ratio,none_gen1_unique_ratio,none_gen1_best_ATT,none_gen1_mean_ATT,mean_ATT,mean_reduction_vs_none_%,delta_gen1_unique_ratio_vs_none,delta_gen1_best_ATT_vs_none,delta_gen1_mean_ATT_vs_none
B_k9_2od_x0.8,mutation,240,238,602.8375,659.6083359375001,0.9916666666666667,0.9916666666666667,602.8375,659.6083359375001,601.6623750000001,-0.0391984641518078,0.0,0.0,0.0
B_k9_2od_x1.0,both,240,207,765.753,789.6442083333333,0.8625,0.9916666666666667,750.9615,790.0930770833334,743.8192999999999,-0.2080225770711399,0.12916666666666665,-14.791500000000042,0.44886875000008786
B_k9_2od_x1.0,init,240,207,765.753,789.6442083333333,0.8625,0.9916666666666667,750.9615,790.0930770833334,741.2505500000001,0.1380417936635681,0.12916666666666665,-14.791500000000042,0.44886875000008786
B_k9_2od_x1.0,mutation,240,238,750.9615,790.0930770833334,0.9916666666666667,0.9916666666666667,750.9615,790.0930770833334,743.6904999999999,-0.1906705221998528,0.0,0.0,0.0
B_k9_2od_x1.2,both,240,206,792.7316666666667,805.4777968750001,0.8583333333333333,0.9916666666666667,792.2941666666667,811.3743854166667,782.52875,-0.0465268510111593,0.13333333333333341,-0.4375,5.896588541666574
B_k9_2od_x1.2,init,240,206,792.7316666666667,805.4777968750001,0.8583333333333333,0.9916666666666667,792.2941666666667,811.3743854166667,782.2294166666667,-0.008256997832309,0.13333333333333341,-0.4375,5.896588541666574
B_k9_2od_x1.2,mutation,240,238,792.2941666666667,811.3743854166667,0.9916666666666667,0.9916666666666667,792.2941666666667,811.3743854166667,782.0652083333333,0.0127370850432353,0.0,0.0,0.0
B_k9_3od_x0.8,both,240,187,367.308125,407.15465625,0.7791666666666667,1.0,386.950625,415.9679973958334,368.475375,0.3389816755833946,0.22083333333333333,19.642499999999984,8.813341145833363
B_k9_3od_x0.8,init,240,187,367.308125,407.15465625,0.7791666666666667,1.0,386.950625,415.9679973958334,368.0294375,0.4595937663073565,0.22083333333333333,19.642499999999984,8.813341145833363
B_k9_3od_x0.8,mutation,240,240,386.950625,415.9679973958334,1.0,1.0,386.950625,415.9679973958334,367.694,0.5503190768771542,0.0,0.0,0.0
B_k9_3od_x1.0,both,240,211,473.9865,521.3558875,0.8791666666666667,1.0,484.849,587.59103941225,472.98455,1.6185115496984304,0.12083333333333335,10.862500000000011,66.23515191224999
B_k9_3od_x1.0,init,240,211,473.9865,521.3558875,0.8791666666666667,1.0,484.849,587.59103941225,476.2871999999999,0.9315554475796916,0.12083333333333335,10.862500000000011,66.23515191224999
B_k9_3od_x1.0,mutation,240,240,484.849,587.59103941225,1.0,1.0,484.849,587.59103941225,475.5490000000001,1.085102143288878,0.0,0.0,0.0
B_k9_3od_x1.2,both,240,210,571.5104166666666,600.5596371527778,0.875,1.0,576.65125,605.074484375,567.8459583333333,0.2074595974777186,0.125,5.140833333333376,4.514847222222215
B_k9_3od_x1.2,init,240,210,571.5104166666666,600.5596371527778,0.875,1.0,576.65125,605.074484375,570.2708749999999,-0.2186922327498483,0.125,5.140833333333376,4.514847222222215
B_k9_3od_x1.2,mutation,240,240,576.65125,605.074484375,1.0,1.0,576.65125,605.074484375,572.15275,-0.5494105978522391,0.0,0.0,0.0
C_k9_1od_x0.8,both,240,211,452.09125,495.8850598958333,0.8791666666666667,0.9958333333333333,457.354375,498.39855989583333,443.760875,0.4859251302481313,0.1166666666666667,5.263125000000002,2.513500000000022
C_k9_1od_x0.8,init,240,211,452.09125,495.8850598958333,0.8791666666666667,0.9958333333333333,457.354375,498.39855989583333,445.6555,0.0610524911266549,0.1166666666666667,5.263125000000002,2.513500000000022
C_k9_1od_x0.8,mutation,240,239,457.354375,498.39855989583333,0.9958333333333333,0.9958333333333333,457.354375,498.39855989583333,446.037375,-0.0245835788420868,0.0,0.0,0.0
C_k9_1od_x1.0,both,240,213,466.897,487.1353354166667,0.8875,0.9958333333333333,458.837,492.67215833333336,453.12215,0.2289931030139706,0.10833333333333339,-8.060000000000002,5.536822916666665
C_k9_1od_x1.0,init,240,213,466.897,487.1353354166667,0.8875,0.9958333333333333,458.837,492.67215833333336,453.5308999999999,0.1389922079592233,0.10833333333333339,-8.060000000000002,5.536822916666665
C_k9_1od_x1.0,mutation,240,239,458.837,492.67215833333336,0.9958333333333333,0.9958333333333333,458.837,492.67215833333336,452.8293500000001,0.293463468939432,0.0,0.0,0.0
C_k9_1od_x1.2,both,240,207,459.0104166666667,489.44350520833336,0.8625,0.9958333333333333,466.44166666666666,496.08901041666667,449.68641666666673,1.5067383516208233,0.1333333333333333,7.431249999999977,6.645505208333304
C_k9_1od_x1.2,init,240,207,459.0104166666667,489.44350520833336,0.8625,0.9958333333333333,466.44166666666666,496.08901041666667,454.915,0.3615398150101934,0.1333333333333333,7.431249999999977,6.645505208333304
C_k9_1od_x1.2,mutation,240,239,466.44166666666666,496.08901041666667,0.9958333333333333,0.9958333333333333,466.44166666666666,496.08901041666667,448.1585416666667,1.8413835322702767,0.0,0.0,0.0
C_k9_2od_x0.8,both,240,206,802.836875,824.2710546875,0.8583333333333333,0.9916666666666667,798.90375,828.3634270833334,797.91075,-0.2187899692441104,0.13333333333333341,-3.933125000000018,4.0923723958333085
