edge_id,score
-4911107#3,0.0033558352
4911107#4,0.0070154208
-4911107#5,0.0010594816
106652029#1,0.0066047502
-4911109#0,0.0462235312
4911109#1,0.0047044872
-4924947#0,0.0076666618
-4924949#1,0.0012854720
4924947#1,0.0108426767
-4924947#2,0.0027556242
41505408,0.0057202288
4924947#3,0.0029014245
-4924949#0,0.0006075009
10271492#0,0.0030472247
4924949#1,0.0058271490
4924949#0,0.0082741627
-835443463#2,0.0191192694
4929432#0,0.0344963331
4935286#0,0.0327443004
4935287#0,0.0349653238
-4935286#1,0.0387707097
474168602#2,0.0403089021
4935286#2,0.0403089021
5236308#1,0.0014531422
-4935286#2,0.0413951137
-5236305#2,0.0056424687
474168056#5,0.0477301335
4935286#3,0.0477301335
474168594,0.0000947701
-4950115#1,0.0128790198
25072974#0,0.0164681354
4950115#2,0.0191532895
-4950193,0.0778087198
7924768,0.0166528156
876343449#0,0.0448870291
-4970251#0,0.0008189113
4970251#1,0.0017714727
4970253#0,0.0003231905
4970251#0,0.0007241411
4970254#0,0.0006512410
-4970252,0.0001968303
-502325084#0,0.0308367475
502325084#1,0.0202322112
-4970253#0,0.0004835707
4970252,0.0001968303
4970253#1,0.0014920223
-4970253#1,0.0017301627
-5057605#0,0.0031225548
5057605#1,0.0021043832
-4970254#0,0.0006342310
-5057605#1,0.0025490739
4970254#1,0.0031954549
-4970254#1,0.0037008957
4970254#2,0.0037883758
-4970254#2,0.0043715767
4970254#3,0.0044347568
-4970254#3,0.0050957178
4970254#4,0.0057761189
-4970254#4,0.0065148400
4970254#5,0.0063107197
4992725,0.0017471727
-4970254#5,0.0071830911
4970255#0,0.0066970903
-4970255#0,0.0076472218
-761190893,0.0014531422
4970255#1,0.0093457944
-4970255#1,0.0104514461
4970255#2,0.0119750584
787570921,0.0014531422
-782714971#1,0.0196004102
4970256#0,0.0325717702
782714971#2,0.0146650726
-4970256#3,0.0242660174
4970256#4,0.0194716200
-4970256#5,0.0162081250
4970256#6,0.0176588372
813586708#0,0.0006925511
-4970256#6,0.0155909040
4970256#7,0.0153624837
813586707#0,0.0025199139
-4970256#8,0.0137100811
-502325084#1,0.0316872488
502325084#3,0.0259621600
5057605#0,0.0029937646
-498033359#1,0.0105073362
219796113#1,0.0062694097
498033359#2,0.0124391892
498037590,0.0105437862
-5197062#1,0.0138048513
502361001,0.0000000000
5197062#2,0.0107649166
-502361003,0.0014531422
-5197062#3,0.0162324250
5197062#4,0.0156978242
502361003,0.0013753821
5026771,0.0013753821
-5029408,0.0014531422
-5029409#0,0.0029014245
5029409#1,0.0054723684
5029408,0.0013753821
-5029409#1,0.0057834089
-7924755,0.0056011586
5029410#0,0.0351961742
-783907721#2,0.0562983267
5055277#0,0.0444714985
782714971#0,0.0073847814
-5055277#1,0.0064152099
5055277#2,0.0049158976
-5055277#4,0.0079704123
5055277#5,0.0083446329
-5055277#5,0.0071272010
5055277#6,0.0077833020
-5197045#1,0.0013753821
-5197053#0,0.0113481175
5197053#1,0.0155568840
-5197053#1,0.0049134676
219796113#6,0.0038515559
5197053#2,0.0173137767
-5197053#3,0.0088889537
-782714971#0,0.0098731052
782714971#1,0.0227132450
-5197061#1,0.0076229217
-5197064#3,0.0107794966
5197061#2,0.0123905891
-5197061#2,0.0148497529
5197061#3,0.0014531422
5197062#0,0.0115789678
-5197061#3,0.0013753821
-5197062#2,0.0136128810
5197062#3,0.0132289404
75505659,0.0014531422
-5197064#0,0.0100820855
5197064#1,0.0094405645
-5197064#1,0.0098925452
5197064#2,0.0092728943
-5197064#2,0.0098026351
5197064#3,0.0100942355
8050332,0.0014531422
-5236305#0,0.0014531422
-8162045,0.0000097200
5236305#1,0.0041115663
5236305#0,0.0013753821
-5236305#1,0.0027702043
5236305#2,0.0068283105
814505163,0.0014531422
-535519490#0,0.0399419715
535519490#1,0.0469549623
747796587#1,0.0014531422
828203038#2,0.0000000000
-61902755,0.0013753821
-814061747#3,0.0408580829
61902755,0.0014531422
814061747#5,0.0337600420
-61902767,0.0013753821
-876343448#3,0.0469889824
61902767,0.0014531422
876343448#5,0.0288878845
-61902802,0.0014531422
-876343448#2,0.0471688026
876343448#3,0.0286375941
61902802,0.0013753821
-6263816#0,0.0147768528
6263816#1,0.0450352594
678743175,0.0014531422
-6263816#1,0.0125363893
6263816#2,0.0426684357
678743174,0.0014531422
-6263816#2,0.0103250859
6263816#3,0.0402918920
678743173,0.0014531422
-6263818#0,0.0010497616
6263818#1,0.0037859458
26216780#2,0.0014555722
474166985#1,0.0041941865
6272848#1,0.0000000000
-652756923#0,0.0014531422
60942914#2,0.0052269380
652756923#1,0.0035380854
652756923#0,0.0013753821
-678743173,0.0013753821
-678743174,0.0013753821
-678743175,0.0013753821
-712622895,0.0024324337
-712622897#1,0.0010619116
712622897#2,0.0000000000
-712622899#0,0.0135861509
712622895,0.0025101939
712622899#1,0.0062232396
-712622896,0.0003134705
-712622897#0,0.0000000000
712622897#1,0.0010619116
-712622899#1,0.0111682972
712622896,0.0003912306
712622899#2,0.0057834089
-712622899#2,0.0108839868
712622897#0,0.0000000000
712622899#3,0.0050301077
-712622899#3,0.0102084457
-7924764#1,0.0042233465
-876057371,0.0000000000
7924763,0.0002891704
-7365262,0.0092048542
74277990,0.0037203357
-747494340,0.0013753821
-803012921#0,0.0511272787
