instance_id,arm,seed,sol_id,att_default,k,source,closed
J_k9_6od_x1.0,heuristic,1,S001,355.43,9,heuristic_seed1,-219796126#4 -311298685 -4950193 -5197064#1 -782714966#1 4894996#3 4935286#2 4970256#0 876057377#0
J_k9_6od_x1.0,heuristic,2,S002,356.536667,9,heuristic_seed2,-24337240#1 -24337240#4 106651993 111677669#3 4935286#2 61902824#0 814061747#1 876057380 gneE0
J_k9_6od_x1.0,heuristic,3,S003,354.137333,9,heuristic_seed3,-111677668#0 -111681903#3 -498033359#0 -5236305#2 -876057371 -876343449#0 120682113#1 385566621 4935286#2
J_k9_6od_x1.0,heuristic,4,S004,357.474667,9,heuristic_seed4,-111677669#5 -27267512#0 -535519490#1 -7365262 -835443464 -876343451#3 24337240#7 465885895#1 535519490#1
J_k9_6od_x1.0,heuristic,5,S005,356.898667,9,heuristic_seed5,-111677669#0 -111681903#2 -172251689 -24337240#6 -28298231 -311298685 4935286#2 5029410#3 828203038#0
J_k9_6od_x1.0,heuristic,6,S006,348.275333,9,heuristic_seed6,-111681903#0 -311298685 -6263818#0 -712622899#3 -782714966#0 111681903#0 4924950 4935286#2 5197053#1
J_k9_6od_x1.0,heuristic,7,S007,352.995333,9,heuristic_seed7,-111677668#3 -4935286#1 -876343451#3 219796117#2 23359215#1 4894996#3 4894997#1 4935286#3 4970254#3
J_k9_6od_x1.0,heuristic,8,S008,357.502,9,heuristic_seed8,-219796126#2 -24337240#0 -7924764#1 -814061747#1 4911107#2 4911107#5 4935286#2 58621262#1 803012921#4
J_k9_6od_x1.0,heuristic,9,S009,358.099333,9,heuristic_seed9,-111681903#2 -803012921#1 106652015 219822417#0 24337240#2 25970859#0 5029408 535519490#1 876343451#0
J_k9_6od_x1.0,sa,0,S010,491.244,9,sa_seed0,-111677668#4 -27267512#1 -410942714#1 -876057378#0 -876057378#2 24337240#7 26216781#0 5029409#1 880140407
J_k9_6od_x1.0,sa,1,S011,400.082667,6,sa_seed1,-219798593#0 -7924760#1 205590836#2 5197061#1 535519490#0 96687079#2
J_k9_6od_x1.0,sa,2,S012,380.035333,9,sa_seed2,-219796100#2 -5197062#2 -535519490#1 -712622895 -761190893 106651997#0 172249924 219797801#2 876057377#1
