instance_id,sol_id,sumo_seed,att
J_k9_6od_x1.0,S024,201,524.432
J_k9_6od_x1.0,S023,205,608.9226666666667
J_k9_6od_x1.0,S024,203,546.848
J_k9_6od_x1.0,S024,204,526.9546666666666
J_k9_6od_x1.0,S024,205,509.002
J_k9_6od_x1.0,S025,202,560.9273333333333
J_k9_6od_x1.0,S025,201,608.3733333333333
J_k9_6od_x1.0,S025,203,613.7026666666667
J_k9_6od_x1.0,S025,205,614.234
J_k9_6od_x1.0,S025,204,615.43
J_k9_6od_x1.0,S026,201,630.14
J_k9_6od_x1.0,S026,202,636.6846666666667
J_k9_6od_x1.0,S026,203,625.644
J_k9_6od_x1.0,S027,202,354.35266666666666
J_k9_6od_x1.0,S027,201,363.84933333333333
J_k9_6od_x1.0,S027,203,359.36266666666666
J_k9_6od_x1.0,S026,204,647.6166666666667
J_k9_6od_x1.0,S026,205,631.5293333333333
J_k9_6od_x1.0,S027,204,358.0013333333333
J_k9_6od_x1.0,S027,205,394.042
J_k9_6od_x1.0,S028,201,611.0253333333334
J_k9_6od_x1.0,S028,203,574.0666666666667
J_k9_6od_x1.0,S028,204,606.4993333333333
J_k9_6od_x1.0,S028,202,631.652
J_k9_6od_x1.0,S028,205,548.1933333333334
J_k9_6od_x1.0,S029,201,650.156
J_k9_6od_x1.0,S029,202,654.8826666666666
J_k9_6od_x1.0,S029,203,609.0286666666667
J_k9_6od_x1.0,S029,204,614.2213333333333
J_k9_6od_x1.0,S029,205,607.4353333333333
J_k9_6od_x1.0,S030,201,608.6913333333333
J_k9_6od_x1.0,S030,203,590.306
J_k9_6od_x1.0,S030,202,617.4493333333334
J_k9_6od_x1.0,S030,204,572.2446666666667
J_k9_6od_x1.0,S030,205,572.632
J_k9_6od_x1.0,S031,201,605.284
J_k9_6od_x1.0,S031,203,608.0153333333334
J_k9_6od_x1.0,S031,202,651.9853333333333
J_k9_6od_x1.0,S031,205,586.6473333333333
J_k9_6od_x1.0,S031,204,630.8306666666666
J_k9_6od_x1.0,S032,201,626.592
J_k9_6od_x1.0,S032,202,612.7226666666667
J_k9_6od_x1.0,S032,203,569.5426666666667
J_k9_6od_x1.0,S032,204,647.61
J_k9_6od_x1.0,S032,205,579.8153333333333
J_k9_6od_x1.0,S033,201,621.1786666666667
J_k9_6od_x1.0,S033,202,593.6226666666666
J_k9_6od_x1.0,S033,203,606.89
J_k9_6od_x1.0,S033,204,648.1333333333333
J_k9_6od_x1.0,S033,205,599.1233333333333
J_k9_6od_x1.0,S034,201,616.7073333333333
J_k9_6od_x1.0,S034,202,592.9506666666666
J_k9_6od_x1.0,S034,203,597.694
J_k9_6od_x1.0,S034,204,622.072
J_k9_6od_x1.0,S034,205,621.8146666666667
J_k9_6od_x1.0,S035,202,614.042
J_k9_6od_x1.0,S035,201,636.6093333333333
J_k9_6od_x1.0,S035,203,651.086
J_k9_6od_x1.0,S035,204,639.9673333333334
J_k9_6od_x1.0,S035,205,615.384
J_k9_6od_x1.0,S036,201,623.7546666666667
J_k9_6od_x1.0,S036,202,649.2906666666667
J_k9_6od_x1.0,S036,203,621.2533333333333
J_k9_6od_x1.0,S036,205,614.856
J_k9_6od_x1.0,S036,204,612.3873333333333
J_k9_6od_x1.0,S037,201,608.3733333333333
J_k9_6od_x1.0,S037,202,560.9273333333333
J_k9_6od_x1.0,S037,203,613.7026666666667
J_k9_6od_x1.0,S038,201,524.432
J_k9_6od_x1.0,S037,204,615.43
J_k9_6od_x1.0,S037,205,614.234
J_k9_6od_x1.0,S038,202,499.5
J_k9_6od_x1.0,S038,203,546.848
J_k9_6od_x1.0,S038,204,526.9546666666666
J_k9_6od_x1.0,S038,205,509.002
J_k9_6od_x1.0,S039,201,461.5853333333333
J_k9_6od_x1.0,S039,202,471.2493333333333
J_k9_6od_x1.0,S039,204,459.918
J_k9_6od_x1.0,S039,205,424.95733333333334
J_k9_6od_x1.0,S039,203,486.4
J_k9_6od_x1.0,S040,202,609.22
J_k9_6od_x1.0,S040,201,616.076
J_k9_6od_x1.0,S040,203,636.716
J_k9_6od_x1.0,S040,204,577.03
J_k9_6od_x1.0,S040,205,583.7193333333333
