instance_id,mode,seed,sol_id,att_default,sumo_seed,att
A_k4_1od_x0.8,none,0,S0009,215.53,204,223.55125
A_k4_1od_x0.8,none,0,S0009,215.53,205,214.79625
A_k4_1od_x0.8,none,1,S0019,221.7325,201,218.20875
A_k4_1od_x0.8,none,1,S0019,221.7325,202,220.94125
A_k4_1od_x0.8,none,1,S0019,221.7325,203,210.225
A_k4_1od_x0.8,none,1,S0019,221.7325,204,215.08125
A_k4_1od_x0.8,none,1,S0019,221.7325,205,225.83875
A_k4_1od_x0.8,none,2,S0011,224.4875,201,223.48625
A_k4_1od_x0.8,none,2,S0011,224.4875,202,229.78625
A_k4_1od_x0.8,none,2,S0011,224.4875,203,231.45125
A_k4_1od_x0.8,none,2,S0011,224.4875,204,223.5025
A_k4_1od_x0.8,none,2,S0011,224.4875,205,223.015
A_k4_1od_x0.8,none,3,S0016,226.71875,201,227.41875
A_k4_1od_x0.8,none,3,S0016,226.71875,202,232.53375
A_k4_1od_x0.8,none,3,S0016,226.71875,203,234.46875
A_k4_1od_x0.8,none,3,S0016,226.71875,204,228.2125
A_k4_1od_x0.8,none,3,S0016,226.71875,205,251.46875
A_k4_1od_x0.8,none,4,S0015,221.615,201,225.59
A_k4_1od_x0.8,none,4,S0015,221.615,202,234.5825
A_k4_1od_x0.8,none,4,S0015,221.615,203,237.12625
A_k4_1od_x0.8,none,4,S0015,221.615,204,222.8825
A_k4_1od_x0.8,none,4,S0015,221.615,205,238.55
A_k4_1od_x0.8,none,5,S0002,228.145,201,229.05125
A_k4_1od_x0.8,none,5,S0002,228.145,202,231.69375
A_k4_1od_x0.8,none,5,S0002,228.145,203,231.47625
A_k4_1od_x0.8,none,5,S0002,228.145,204,226.53625
A_k4_1od_x0.8,none,5,S0002,228.145,205,234.24375
A_k4_1od_x0.8,none,6,S0003,228.32625,201,234.4625
A_k4_1od_x0.8,none,6,S0003,228.32625,202,227.01375
A_k4_1od_x0.8,none,6,S0003,228.32625,203,226.3525
A_k4_1od_x0.8,none,6,S0003,228.32625,204,229.67
A_k4_1od_x0.8,none,6,S0003,228.32625,205,234.175
A_k4_1od_x0.8,none,7,S0027,221.98625,201,216.1025
A_k4_1od_x0.8,none,7,S0027,221.98625,202,221.975
A_k4_1od_x0.8,none,7,S0027,221.98625,203,217.86375
A_k4_1od_x0.8,none,7,S0027,221.98625,204,215.165
A_k4_1od_x0.8,none,7,S0027,221.98625,205,205.1875
A_k4_1od_x0.8,none,8,S0004,229.2975,201,265.09625
A_k4_1od_x0.8,none,8,S0004,229.2975,202,229.9725
A_k4_1od_x0.8,none,8,S0004,229.2975,203,240.71
A_k4_1od_x0.8,none,8,S0004,229.2975,204,234.91375
